0.000000	0.997382	0
0.998272	2.493900	1
2.494790	3.098913	0
3.098913	6.508341	1
6.509231	6.749456	0
6.750346	9.185524	1
9.186414	10.475626	0
10.476516	12.162545	1
12.163435	13.212421	0
13.214201	14.539002	1
14.539892	15.199178	0
15.200957	20.122918	1
20.125587	20.450337	0
20.451227	21.953083	1
21.953973	22.253810	0
22.254700	24.418512	1
24.419402	25.366959	0
25.379415	27.658002	1
27.658892	28.289707	0
28.290597	29.342252	1
29.343142	30.122541	0
30.123431	31.267618	1
31.268507	32.561278	0
32.562168	34.120077	1
34.120967	34.873674	0
34.874564	36.088150	1
36.089039	36.533902	0
36.534792	37.729693	1
37.730583	38.058001	0
38.058891	39.123003	1
39.123892	39.365898	0
39.366787	41.284146	1
41.285035	42.010161	0
42.011051	44.002256	1
44.003146	45.000000	0
