0.000000	0.996596	0
0.997882	2.556430	1
2.557716	3.119668	0
3.129955	5.027989	1
5.029275	5.325039	0
5.325039	6.535099	1
6.536385	7.815886	0
7.817172	9.920954	1
9.922240	10.961272	0
10.962558	15.233134	1
15.234420	15.771939	0
15.773225	16.848262	1
16.849548	17.178747	0
17.180033	18.559836	1
18.561122	18.792590	0
18.793875	21.184420	1
21.187229	22.099793	0
22.101306	23.130393	1
23.131906	23.762983	0
23.764496	25.291489	1
25.293003	26.058769	0
26.060283	27.357243	1
27.358757	28.610316	0
28.611830	35.441682	1
35.443195	36.192315	0
36.193828	37.831298	1
37.832811	38.271689	0
38.273203	39.638265	1
39.639779	39.968181	0
39.971207	42.092956	1
42.094470	42.312395	0
42.313909	43.971052	1
43.972565	45.000146	0
