n_raters,n_frames,fleiss_kappa,observed_unanimity,unanimous_speech_frac,speech_rate_energy,cohen_kappa_energy_vs_ltsd,cohen_kappa_energy_vs_silero,speech_rate_ltsd,cohen_kappa_ltsd_vs_silero,speech_rate_silero,lang
3,493204,0.6178359375695981,0.7415065571244354,0.5176336769369267,0.5943362178733343,0.6463220242409302,0.6184569045155613,0.6132046779831469,0.600955252050653,0.7623721624317726,as_in
3,534124,0.478397893426384,0.6226943556177966,0.40205645131093154,0.46236454456268583,0.5847964977736614,0.4037072069627381,0.5535512352936771,0.5010564039577364,0.7667901086639057,bn_in
3,393238,0.5398926405022357,0.6835351619121245,0.46618587216901725,0.5702577065288705,0.5670013976593108,0.5073050023916832,0.6251684730366852,0.5597142569591737,0.7365234285598035,en_us
3,434128,0.46297594491053556,0.6519989496185457,0.49511434415656214,0.6059042494379537,0.5222218984426418,0.46032702482568993,0.6148900785021929,0.44081620613373274,0.8323305568864482,gu_in
3,460090,0.4720828486462036,0.6383533656458519,0.4533178291203895,0.566108804799061,0.5254870786551958,0.46716204595227323,0.5779934360668565,0.4588891233169237,0.7973353039622683,hi_in
3,549090,0.5847798162837763,0.7337631353694294,0.5505673022637455,0.6464568649948096,0.6471514891080533,0.5949271148843276,0.6247700741226393,0.5247938834202186,0.8001019869238194,kn_in
3,598762,0.5992776528142971,0.739178504981946,0.5477234694252474,0.6154766000514394,0.6693244148135192,0.5773332088330528,0.6411829742034397,0.5604931308342131,0.7886522524809524,ml_in
3,548362,0.5362942725547334,0.689110478114822,0.4943850959767453,0.598741342397905,0.5744897259464682,0.549650494092451,0.6017338911157228,0.5060680366892417,0.7880560651540406,mr_in
3,438040,0.6305101155859746,0.7821249200986211,0.6169664870788056,0.675796730892156,0.7173736860236124,0.5727818733145519,0.7172130399050315,0.6005971975534857,0.8005364806866953,ne_np
3,488930,0.2627420576238829,0.46025811465854005,0.30378172744564663,0.45111774691673656,0.44164429840701747,0.23905971679347704,0.464988853210071,0.23719456212740073,0.8156668643773137,or_in
3,466210,0.47972556482518736,0.6391561742562365,0.44732845713305164,0.5482722378327364,0.5499812812485699,0.45876354040793493,0.5768001544368417,0.46412948200303084,0.7863966881877266,pa_in
3,520746,0.5520057759436743,0.6999247233776159,0.5054114673948528,0.6017828269444221,0.6167162496313061,0.5525522506883315,0.5994265918509215,0.5053196734014309,0.789240819900681,ta_in
3,440212,0.5292272133192457,0.7011644389521412,0.5299946389466893,0.6467883656056628,0.5478161525910709,0.5554704074965269,0.6287402433373012,0.5062095059883472,0.8124085667814599,te_in
3,292592,0.29045483200512395,0.5232097938426205,0.39315155574998634,0.6199110023513972,0.33203408824429165,0.4055094832713497,0.504624186580631,0.24635151709440484,0.8593057909990703,ur_pk
