0.000000	0.989683	
0.989683	2.837841	1
2.837841	3.351426	0
3.351426	5.184589	1
5.184589	5.422056	0
5.422056	6.834060	1
6.834060	8.041174	0
8.041174	9.881834	1
9.881834	10.856522	0
10.856522	12.824641	1
12.824641	13.263251	0
13.263251	15.696221	1
15.696221	15.958637	0
15.958637	18.606434	1
18.606434	18.800625	0
18.800625	21.052663	1
21.052663	21.877062	0
21.877062	24.853911	1
24.853911	25.415881	0
25.415881	26.905631	1
26.905631	27.621348	0
27.621348	29.365575	1
29.365575	30.558435	0
30.558435	31.772502	1
31.772502	32.456409	0
32.456409	35.637370	1
35.637370	35.950165	0
35.950165	37.181462	1
37.181462	37.445217	0
37.445217	41.559260	1
41.559260	42.214008	0
42.214008	44.012577	1
44.012577	45.000000	0
